item,itemLabel,startDate,endDate
Q1390280,Hugh Kennedy,1924-06-24,1936-12-01
Q1558634,Timothy Sullivan,1936-12-01,1946-06-01
Q177721,Conor Maguire,1946-06-01,1961-06-11
Q380894,Cearbhall Ó Dálaigh,1961-06-16,1973-09-22
Q1799942,William FitzGerald,1973-09-25,1974-10-17
Q1770312,Tom O'Higgins,1974-10-17,1985-10-01
Q2423865,Thomas Finlay,1985-10-10,1994-03-16
Q6539618,Liam Hamilton,1994-03-22,2000-06-01
Q2165795,Ronan Keane,2000-06-01,2004-07-23
Q1572237,John L. Murray,2004-07-23,2011-07-25
Q7647744,Susan Denham,2011-07-25,2017-07-28
Q5485855,Frank Clarke,2017-07-28,2021-10-10
Q5293884,Donal O'Donnell,2021-10-11,
