item,itemLabel,startDate,endDate
Q964276,Eoin O'Duffy,1922-02,1922-07
Q560499,Richard Mulcahy,1922-07,1922-08
Q24196720,Seán Mac Mahon,1922-08,1924-03
,Peadar MacMahon,1924-03,1927-03
Q5217501,Daniel Hogan,1927-03,1929-02
Q1700553,Seán Mac Eoin,1929-02,1929-10
Q6287271,Joseph Sweeney,1929-10,1931-10
Q19324938,Michael Brennan,1931-10,1940-01
,Daniel McKenna,1940-01,1949-01
,Liam Archer,1949-01,1952-01
,W. A. Egan,1952-01,1954-12
,Patrick Mulcahy,1955-01,1959-12
Q27831221,John McKeown,1960-01,1960-12
,Sean Collins Powell,1961-01,1962-03
Q27831221,John McKeown,1962-04,1971-03
,Thomas O'Carroll,1971-04,1976-07
,Carl O'Sullivan,1976-08,1981-06
Q16015162,Louis Hogan,1981-06,1984-04
,Gerald O'Sullivan,1984-04,1986-02
,Tadgh O'Neill,1986-02,1989-10
,James Parker,1989-10,1992-04
,Noel Bergin,1992-04,1994-12
,Gerald McMahon,1995-02,1998-08
,David Stapleton,1998-08,2000-09-24
Q5147690,Colm Mangan,2000-09-25,2004-02-20
Q6143469,James Sreenan,2004-02-21,2007-06-28
Q1200273,Dermot Earley,2007-06-28,2010-06-09
Q1731879,Sean McCann,2010-06-09,2013-08-12
Q16733565,Conor O'Boyle,2013-08-12,2015-09-29
Q5475429,Mark Mellett,2015-09-29,2021-09-29
Q109929699,Seán Clancy,2021-09-29,
