@@,itemlabel,item,startdate,enddate
+++,Eoin O'Duffy,Q964276,1922-02,1922-07
+++,Richard Mulcahy,Q560499,1922-07,1922-08
+++,Seán Mac Mahon,Q24196720,1922-08,1924-03
+++,Peadar MacMahon,,1924-03,1927-03
+++,Daniel Hogan,Q5217501,1927-03,1929-02
+++,Seán Mac Eoin,Q1700553,1929-02,1929-10
+++,Joseph Sweeney,Q6287271,1929-10,1931-10
+++,Michael Brennan,Q19324938,1931-10,1940-01
+++,Daniel McKenna,,1940-01,1949-01
+++,Liam Archer,,1949-01,1952-01
+++,W. A. Egan,,1952-01,1954-12
+++,Patrick Mulcahy,,1955-01,1959-12
+++,John McKeown,Q27831221,1960-01,1960-12
+++,Sean Collins Powell,,1961-01,1962-03
+++,John McKeown,Q27831221,1962-04,1971-03
+++,Thomas O'Carroll,,1971-04,1976-07
+++,Carl O'Sullivan,,1976-08,1981-06
+++,Louis Hogan,Q16015162,1981-06,1984-04
+++,Gerald O'Sullivan,,1984-04,1986-02
+++,Tadgh O'Neill,,1986-02,1989-10
+++,James Parker,,1989-10,1992-04
+++,Noel Bergin,,1992-04,1994-12
->,Gerald McMahon,Q110304812->NULL,1995-02-01->1995-02,1998-08-01->1998-08
->,David Stapleton,Q110304808->NULL,1998-08-01->1998-08,2000-09-24
->,Dermot Earley Snr->Dermot Earley,Q1200273,2007-06-28,2010-06-09
->,Conor O'Boyle,Q16733565,2013-08-01->2013-08-12,2015-09-01->2015-09-29
