item,itemLabel,startDate,endDate,sourceDate,psid
Q1822676,Liam T. Cosgrave,1997-09-18,2002-09-13,2022-05-10,Q1822676-0FDE8096-DE88-4511-8F67-0B2A12E6D128
Q1556791,Paddy Burke,2002-09-13,2007-09-13,2022-05-10,Q1556791-A2378C9B-2A07-4795-8C5E-83A75E44CB80
Q1556791,Paddy Burke,2007-09-13,2011-05-25,2022-05-10,Q1556791-2356810F-CA43-4CCE-BDE0-2EEBEB3D81E6
Q1187575,Denis O'Donovan,2011-05-25,2016-06-08,,Q1187575-055776C3-3A95-47CE-8FDD-0A0804E8D7ED
Q7149890,Paul Coghlan,2016-06-15,2020-03-27,2022-05-10,Q7149890-C3BBF0D9-713C-421E-917F-472E94F3DEC6
Q6183343,Jerry Buttimer,2020-07-07,2020-08-21,,Q6183343-F6508F36-3EC9-45AA-8173-0654FBDC7A96
Q6211607,Joe O'Reilly,2020-08-22,,2022-05-10,Q6211607-20A4B0F0-BAE7-4A35-A594-E4E76DDF2D6E
