@@,itemlabel,item,startdate,enddate
->,Michael Hayes,Q1927735,1922-09-08->1922-09-09,1932-03-09
->,Thomas J. Fitzpatrick->Tom Fitzpatrick,Q2424966,1982-12-14,1987-03-10
