item,itemLabel,startDate,endDate,sourceDate,psid
Q466058,Séamus Pattison,1997-06-26,2002-06-06,,Q466058-3D7A87BA-F3E0-4E84-AE76-B1B21207DA51
Q1802106,Rory O'Hanlon,2002-06-06,2007-06-14,,Q1802106-97CD9066-2281-464B-A1BC-3A7904364C6F
Q981985,John O'Donoghue,2007-06-14,2009-10-13,,Q981985-BB29846A-EB26-4045-85FB-65C8B50C5140
Q981878,Séamus Kirk,2009-10-13,2011-03-09,,Q981878-46B2838C-E25F-49D2-9766-2C94712075B4
Q221888,Seán Barrett,2011-03-09,2016-03-10,,Q221888-3b3f83a3-4818-6c5e-98f2-915c56318120
Q7459627,Seán Ó Fearghaíl,2016-03-10,,,Q7459627-0b8e4427-4b37-1ce7-1324-f7c3c2b67837
