@@,item,itemlabel,startdate,enddate
->,Q1680124,"James Campbell, 1st Baron Glenavy->Lord Glenavy",1922-12-06,1928-12-06
->,Q946973,James Dooge,1973-06-16->1973-06-01,1977-10-29->1977-10-27
->,Q912826,Brian Mullooly,1995-07-12->1996-11-16,1996-11-27
->,Q1187575,Denis O'Donovan,2016-06-08,NULL->2020-06-29
+++,Q1900009,Mark Daly,2020-06-29,
