item,itemLabel,startDate,endDate,sourceDate,psid
Q912826,Brian Mullooly,1997-09-17,2002-09-12,,Q912826-1688d037-4e0a-c381-4e87-bcf1828947a5
Q1747874,Rory Kiely,2002-09-12,2007-09-13,,Q1747874-8a2e75ab-429a-789b-fd6f-718d5cf1e386
Q282462,Pat Moylan,2007-09-13,2011-05-25,,Q282462-AD3E218C-9A3E-4D21-9F05-6E8EDFE5236A
Q1556791,Paddy Burke,2011-05-25,2016-06-08,,Q1556791-199B7A2A-DA64-40CD-B457-F7F69DEFB86D
Q1187575,Denis O'Donovan,2016-06-08,2020-06-29,,Q1187575-D6382EA3-5F66-4AAE-8833-7E11F9E03C79
Q1900009,Mark Daly,2020-06-29,,,Q1900009-279F76D3-3D2D-41B6-B81A-C4A38F03A4FC
