@@,item,itemlabel,startdate,enddate
->,Q631505,Michael P. Kitt->Michael Kitt,2011-03-31,2016-03-10
->,Q981866,"Pat the Cope Gallagher->Pat ""the Cope"" Gallagher",2016-06-06->2016-07-06,2020-02-10
