item,itemLabel,startDate,endDate,sourceDate,psid
Q1802106,Rory O'Hanlon,1997-07-09,2002-06-06,,Q1802106-a658ebac-4f30-c1c6-35a7-1932890d583b
Q466058,Séamus Pattison,2002-06-08,2007-06-14,,Q466058-bd1c6edd-485c-6a25-7fa8-9ee78fe0e984
Q466028,Brendan Howlin,2007-06-26,2011-03-09,,Q466028-224CEF71-F33B-4B32-A409-A20F581D786A
Q631505,Michael P. Kitt,2011-03-31,2016-03-10,,Q631505-ba38958f-4310-8a69-cb88-57bb46a32c43
Q981866,Pat the Cope Gallagher,2016-06-06,2020-02-10,,Q981866-348e963f-46a1-a071-5cec-52be46bbccf2
Q5052598,Catherine Connolly,2020-07-23,,,Q5052598-A0D97840-D764-4AE3-811B-7D448820A91E
