item,name,positionItem,position,start,end,psid
Q112128550,Francisco Mba Olo Bahamonde,Q111021197,Agriculture and Forests,2015-04-15,2019-12-31,Q112128550-E37E18A8-E3F4-4163-9641-0639D7F85FFB
Q112128550,Francisco Mba Olo Bahamonde,Q112162675,Forests and Environment,2016-06-24,2018-02-06,Q112128550-E4384699-7179-4AFD-8A34-F97B5BB38CB9
Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Human Rights Affairs,2015-04-15,2019-12-31,Q112128551-110C1237-E487-4AAC-9D6D-6AD9EAD4FCF7
Q112128551,Alfonso Nsue Mokuy,Q112128225,"Information, Tourism and Culture",2004-06-15,2006-08-22,Q112128551-306B18A5-7606-427F-A424-EB39805CF19A
Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Social and Human Rights Affairs,2012-05-22,2015-04-15,Q112128551-70A0597A-41B3-49C1-BD88-B897F8C33FEB
Q112128551,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15,Q112128551-91377ECC-DB9B-4807-8339-EFAC1A5544EA
Q112133227,Anastasio Asumu Mum Munoz,Q112162674,Fishing and Environment,2008-07-15,2012-05-22,Q112133227-6A7529BB-09D9-4D08-ABEC-AC5AA863AD94
Q112133244,Eucario Bakale Angüe,Q112162697,"Transport, the Postal Service and Telecommunications",2018-02-06,2019-04-10,Q112133244-2D6D5B05-D7DE-4491-A35E-369D581CCEE9
Q112133244,Eucario Bakale Angüe,Q111021198,"Economy, Planning and Public Investment",2015-04-15,2018-02-06,Q112133244-4473C782-411C-45FD-82EC-F5330E78EAD7
Q112133244,Eucario Bakale Angüe,Q112162686,Public Administration and Administrative Reform,2019-04-10,2019-12-31,Q112133244-92B2A32B-D728-4F04-B03A-1A45E682184F
Q112133252,Juan Antonio Bibang Nchuchuma,Q112162673,External Security,2018-02-06,2019-12-31,Q112133252-4E3D5A71-55EE-4435-94A7-FBBC45970033
Q112133254,Lucas Nguema Esono Mbang,Q112162699,Youth and Sports,2003-02-11,2004-06-15,Q112133254-46C354B1-29BD-4150-AE72-A50827E53784
Q112133254,Lucas Nguema Esono Mbang,Q112128225,"Information, Tourism and Culture",1999-07-22,2003-02-11,Q112133254-D5DB5D63-3BAE-4CFC-9F9F-FEF29824DF32
Q112133254,Lucas Nguema Esono Mbang,Q112162701,Vice-Prime Minister in charge of the Social Sector and Minister of Education and Science,2013-09-04,2015-04-15,Q112133254-E48ADF66-0C22-4A42-85FC-AB4979248E74
Q112133263,Melchor Esono Edjo,Q111021200,Finance and Budget,2010-01-12,2012-05-22,Q112133263-34AE1AD3-BE63-4E53-BA64-7AA08D1745E1
Q112133267,Pedro Ondo Nguema,Q111021198,"Economy, Commerce, and Business Promotion",2008-07-15,2011-01-28,Q112133267-726F478D-1470-4F7B-AB29-EC6377885F1B
Q112133267,Pedro Ondo Nguema,Q111021205,Public Works and Infrastructure,2016-06-24,2018-02-06,Q112133267-F2DF3C90-B9CE-4933-9088-3EAA57D3FA4C
Q112133279,Tomas Mecheba Fernandez,Q111020058,Health and Social Welfare,2012-05-22,2013-09-04,Q112133279-03367B47-5C03-49D2-8CA3-628119D40903
Q112133279,Tomas Mecheba Fernandez,Q112162693,Tourism,2016-06-24,2018-02-06,Q112133279-C5FEF9E7-7EEF-46C1-963C-B49EC1BFEF65
Q112133279,Tomas Mecheba Fernandez,Q112162671,Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,2013-09-04,2016-06-24,Q112133279-FABF25F3-033C-45CC-BB4D-68B2D148BDC8
Q112133280,Vicente Rodriguez Siosa,Q112162674,Fishing and Environment,2006-08-22,2008-07-15,Q112133280-03599BA6-D8FF-4D7D-BB43-129184E1091A
Q112133372,Adoracion Salas Chonco,Q112162674,Fishing and Water Resources,2018-02-06,2019-12-31,Q112133372-251E9D4E-AF8A-49D4-B04B-1D95553DE25B
Q112133375,Alfredo Mitogo Mitogo,Q111021197,Agriculture and Forests,2013-09-04,2015-04-15,Q112133375-8DEC7601-E7A4-44B3-96C6-FF94179BC529
Q112133375,Alfredo Mitogo Mitogo,Q112162696,Trade and Business Promotion,2015-04-15,2016-06-24,Q112133375-DCC68DFF-2080-448A-93AB-B958F7FE8DA4
Q112133387,Conrado Okenve Ndoho,Q112162681,"Planning, Economic Development, and Public Investment",2012-05-22,2013-09-04,Q112133387-81F6B6BF-07D1-42CB-B7F2-8081A5E5A01A
Q112133387,Conrado Okenve Ndoho,Q111021198,"Economy, Planning and Public Investment",2013-09-04,2015-04-15,Q112133387-94EA032F-FCCC-46B0-B344-DC304E010EB3
Q112133389,Consuelo Ondo Nsang,Q112162691,Social Affairs and Gender Equality,2015-04-15,2018-02-06,Q112133389-2E12A328-1E10-44AC-81B1-8DA58A53B065
Q112133405,Francisca Tatchoup Belope,Q111021198,"Economy, Commerce, and Business Promotion",2011-01-28,2012-05-22,Q112133405-EE512AC8-2335-4AFB-A4DC-B78AE3DC6B69
Q112133412,Hermes Ela Mifumu,Q112162685,Promotion of Small and Medium Businesses,2016-06-24,2018-02-06,Q112133412-7C46697A-080E-499F-8533-1ECD82B06E00
Q112133418,Jesús Engonga Ndong,Q111021199,"Education, University Teaching and Sports",2018-02-06,2019-04-10,Q112133418-5B35C31C-D738-49C8-A2CA-FB1F15044B9B
Q112133418,Jesús Engonga Ndong,Q111021199,Education and Science,2015-04-15,2018-02-06,Q112133418-64F86B23-6E6C-41CF-A16F-651A65703CF5
Q112133557,Eulalia Envo Bela,Q112162691,Social Affairs and Promotion of Women,2006-08-22,2012-05-22,Q112133557-97CFF0E4-6B7F-4085-9B71-049375070E91
Q112133587,Enrique Mercader Costa,Q111021204,Labour and Social Security,2004-06-15,2006-06-15,Q112133587-89C99B9A-5FB3-4259-8699-997ECBACF1A0
Q112133587,Enrique Mercader Costa,Q112162697,"Transport, Technology, and Posts and Telecommunications",2006-06-15,2010-01-12,Q112133587-95B38978-E1FF-4D2E-AD6B-962CE13E6CFE
Q112133717,Maria Leonor Epam Biribe,Q112162691,Social Affairs and Promotion of Women,2012-05-22,2013-09-04,Q112133717-B20B3344-1560-45FE-955A-1D0AACB182C9
Q112133750,Eugenio Nse Obiang,Q112128225,"Information, Press, and Radio",2015-04-15,2019-12-31,Q112133750-3037C8CF-8AE9-434D-91FB-CEF554CB32E0
Q112162550,Cándido Nsue Okomo,Q112162699,Youth and Sports,2017-06-13,2018-02-06,Q112162550-7453A455-7821-44B4-B190-77EC657F7AD3
Q112162957,Alejandro Bacale Ncogo,Q111021195,Defence,2018-02-06,2019-12-31,Q112162957-E3307F37-D9A9-4D4D-A04B-02F2C3590690
Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Missions,1989-11-25,2019-12-31,Q112162958-BAB1E218-875E-4A06-8C35-76D61E6FA22B
Q112162959,Andrés Jorge Mbomio Nsem Abu,Q112162699,Youth and Sports,2015-04-15,2017-06-13,Q112162959-CA8D2C19-5CB5-48E6-9A6C-E522B5EDE55D
Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Economy and Finance,2008-07-15,2012-05-22,Q112162960-0E2FF4B5-6108-471F-8E88-F9578AEBAC7C
Q112162960,Aniceto Ebiaka Muete,Q112162698,Urban Planning and Infrastructure,2004-06-15,2006-08-22,Q112162960-4CC8BD6D-0E3F-465C-8427-3BE4939B06CF
Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Human Rights,2006-08-22,2008-07-15,Q112162960-66D072B7-6696-473C-AD92-50003470D192
Q112162961,Anselmo Ondo Eseno,Q111021199,"Education, Science and Sport",2008-07-15,2010-01-12,Q112162961-5708CED3-3610-4306-A958-A25185ABC185
Q112162962,Antonio Martin Ndong Ntutumu,Q111020058,Health and Social Welfare,2006-08-22,2008-07-15,Q112162962-10635021-6575-480B-974E-16E0A000DA0C
Q112162962,Antonio Martin Ndong Ntutumu,Q112162665,Administrative Coordination and Relations with Parliament,2004-06-15,2006-08-22,Q112162962-1F0F2F11-5844-427B-91AE-4F48DF3884D0
Q112162963,Antonio Nve Nseng,Q112162681,Planning and Economic Development,2003-02-11,2004-06-15,Q112162963-B0F7391B-22A6-427C-86B4-0247AD4A639F
Q112162965,Antonio Pedro Olivera Boropu,Q112162696,Trade,2016-06-24,2018-02-06,Q112162965-7505AD3A-3C1A-41B9-BA95-6D907451CC61
Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Press, and Radio",2012-05-22,2013-09-04,Q112162966-ADC5EE3C-49BA-4843-8C0B-D1E08C7B4EF4
Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Tourism and Culture",2003-02-11,2004-06-15,Q112162966-BBCC6D19-219E-4D3A-914B-726979DD0438
Q112162967,Baltasar Engonga Edjo,Q111021198,Economy and Finance,2001-03-09,2004-06-15,Q112162967-F3275785-DA53-4C09-9A5D-E3F92D93F663
Q112162967,Baltasar Engonga Edjo,Q112162689,Regional Integration,2006-02-14,2019-12-31,Q112162967-FAE69AB5-B2E5-4F49-AD19-DE8042508A10
Q112162968,Baltasar Esono Oworo Nfono,Q112162700,Minister without Portfolio,2016-06-24,2019-12-31,Q112162968-F860508B-B942-4A71-BF5E-3929929C0608
Q112162969,Braulio Ncogo Abegue,Q112162669,Civil Cabinet,2008-07-15,2016-06-24,Q112162969-E1BB1BD3-C842-465B-8E9D-E5AF81B12351
Q112162970,Carmelo Modu Acusé Bindang,Q111021201,"Industry, Commerce and Small and Medium Enterprises",2003-02-11,2004-06-15,Q112162970-34ED27A9-106D-4FD7-95E2-E803227CC2A7
Q112162970,Carmelo Modu Acusé Bindang,Q112162683,Political and Administrative Affairs,2006-08-22,2008-07-15,Q112162970-37D69F02-F4A8-4764-A0AF-EA4BB875A0BD
Q112162970,Carmelo Modu Acusé Bindang,Q112162681,Planning and Economic Development,2004-06-15,2006-08-22,Q112162970-41EC59DC-BC7B-4F7F-9133-9C8FB5C9B336
Q112162971,Celestino Bonifacio Bakale Obiang,Q111021198,"Economy, Commerce, and Business Promotion",2012-05-22,2013-09-04,Q112162971-726AFBAD-7963-4017-9214-D9EBDC992B04
Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,Transport and Posts,2016-06-24,2018-02-06,Q112162971-7A6D6289-AECD-473D-B7B6-8BB9EEAABFB4
Q112162971,Celestino Bonifacio Bakale Obiang,Q112162696,Trade and Business Promotion,2013-09-04,2015-04-15,Q112162971-9EFF2CE1-9860-43A6-BB1B-D36F6967799F
Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,"Transport, Technology, and Posts and Telecommunications",2015-04-15,2016-06-24,Q112162971-C1A8E463-1B45-4DC9-9C00-A20CFFC6D288
Q112162971,Celestino Bonifacio Bakale Obiang,Q111021204,"Labour, Employment Promotion and Social Security",2018-02-06,2019-12-31,Q112162971-E6BBB89D-905C-4539-96CA-4294B80A6353
Q112162972,Clemente Engonga Nguema Andeme,Q111021199,"Vice-Prime Minister and Minister for Education, University Teaching and Sports",2019-04-10,2019-12-31,Q112162972-8386F421-2EDA-48E3-83F2-3553AC841159
Q112162972,Clemente Engonga Nguema Andeme,Q111021202,Interior and Local Corporations,2001-03-09,2012-05-22,Q112162972-96091113-3364-429B-9331-4D19F47DC430
Q112162972,Clemente Engonga Nguema Andeme,Q112162701,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations",2012-05-22,2019-04-10,Q112162972-A7B26D35-2649-4667-A193-D9379E208877
Q112162973,Constantino Ekong Zue,Q111021201,"Industry, Commerce and Small and Medium Enterprises",1999-07-22,2003-02-11,Q112162973-43135058-48E1-4C8A-8B1E-2DD5C72187AC
Q112162975,Crescencio Tamarite Castano,Q112162674,Fishing and Environment,2012-05-22,2015-04-15,Q112162975-1F6DEDA2-927A-40D4-BE5A-9A2A0739F0F3
Q112162976,César Augusto Mba Abogo,Q111021200,"Finance, Economy and Planning",2019-04-10,2019-12-31,Q112162976-227F5528-6506-4D33-B0F5-965928D5D372
Q112162977,Diosdado Nsue Medja,Q111021205,"Public Works, Housing, and Town Planning",2018-02-06,2019-12-31,Q112162977-E7B85A43-DFD1-4831-885B-93174E6705F4
Q112162978,Diosdado Vicente Nsue Milan,Q111020058,Health and Social Welfare,2013-09-04,2016-06-24,Q112162978-E23CFFE3-801E-42A0-82E1-960B1312AFCC
Q112162980,Estanislao Don Malavo,Q111021204,Labour and Social Security,2010-01-12,2012-05-22,Q112162980-144FE27E-5108-4A73-A788-D9404195398C
Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Environment,2015-04-15,2016-06-24,Q112162980-4A436AE3-8DD9-4F9F-8B84-4CFCEA68DF78
Q112162980,Estanislao Don Malavo,Q111021200,Finance and Budget,2008-07-15,2010-01-12,Q112162980-4C4A0800-A6CB-4DE4-9364-C9D704090585
Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Water Resources,2016-06-24,2018-02-06,Q112162980-A7CE4BF6-701F-44EE-8690-F237BC5F4DD1
Q112162981,Eugenio Edu Ndong,Q111021201,Industry and Energy,2016-06-24,2018-02-06,Q112162981-E823FD3D-4E7F-43FF-8EE5-AE8E9F1A5094
Q112162982,Faustino Ndong Esono Eyang,Q112162700,Minister without Portfolio,2013-09-04,2016-06-24,Q112162982-3C57A2E3-6C33-4263-9ED1-20ED7C6CCD73
Q112162982,Faustino Ndong Esono Eyang,Q112162686,Public Administration and Administrative Reform,2016-06-24,2019-04-10,Q112162982-9FB84281-E016-49D3-8FD6-03FA7959E211
Q112162982,Faustino Ndong Esono Eyang,Q111021202,Interior and Local Corporations,2019-04-10,2019-12-31,Q112162982-E1A9578E-36F2-47B1-A0E7-DFF606DA8D39
Q112162983,Fernando Mbale Mba,Q112162670,Civil Service and Administrative Reform,1998-01-23,2001-03-09,Q112162983-A477E24F-7D68-4A16-9621-E235D1B17AD2
Q112162984,Fidel Nsue Micha,Q112162698,Urban Planning and Infrastructure,2006-08-22,2008-07-15,Q112162984-D4791657-D953-469F-A3D4-02BDC15439CD
Q112162985,Florentino Nkogo Ndong,Q111021205,Public Works and Urban Affairs,1999-07-22,2003-02-11,Q112162985-5DD0BB48-D8E6-41D4-A77D-6C983643D3A8
Q112162986,Francisco Javier Ngomo Mbengono,Q111021203,"Justice, Religion, and Penitentiary Institutions",2011-01-28,2013-09-04,Q112162986-266746C9-8C17-4CDB-9CA9-3482153A81A3
Q112162987,Gregorio Boho Camo,Q111021197,"Agriculture, Livestock and Rural Development",2001-03-09,2003-02-11,Q112162987-6E022882-43E0-4A9B-8C64-5B6390AE7D68
Q112162988,Heriberto Mico Mbengono,Q111021204,Labour and Social Security,2013-01-30,2016-06-24,Q112162988-BBC34075-5A2B-4544-89A3-A8F34E60B086
Q112162989,Jeremias Ondo Ngomo,Q112162701,Vice-Prime Minister in charge of Social Affairs and Human Rights,2003-02-11,2004-06-15,Q112162989-571D17C1-6772-4EB0-A495-6B43A0A0DD16
Q112162990,Joaquín Mbana Nchama,Q111021199,Education and Science,2011-01-28,2012-05-22,Q112162990-909D4DA4-52AA-4F86-93D8-1F36E7DA3E52
Q112162991,José Ela Oyana,Q112162681,"Planning, Economic Development, and Public Investment",2006-08-22,2012-05-22,Q112162991-AC751B1B-8F23-4F34-95E2-569A592550C6
Q112162993,Juan Antonio Ntutumu,Q112162699,Youth and Sports,2001-03-09,2003-02-11,Q112162993-62A82668-CF0B-4F7D-B2C0-0FD1C4A0FCD9
Q112162993,Juan Antonio Ntutumu,Q111020058,Health and Social Welfare,1999-07-22,2001-03-09,Q112162993-E1B181E9-6DA1-4751-B75D-FB14B879BD5A
Q112162994,Juan Nko Mbula,Q112162698,Urban Planning and Infrastructure,2012-05-22,2016-06-24,Q112162994-F057A542-6980-4D5F-AC5D-A16AB0BB9A7C
Q112162995,Justino Obama Nve,Q111020058,Health and Social Welfare,2003-02-11,2006-08-22,Q112162995-47773E91-454E-4B35-A6E0-292BD3BA0242
Q112162996,Leandro Miko Angue,Q112162668,Civil Aviation,2018-02-06,2019-12-31,Q112162996-CCCE1B4E-246F-47F7-BC52-CB9C47C057A0
Q112162997,Manuel Nguema Mba,Q112162679,National Security,2004-06-15,2009-02-24,Q112162997-AB760487-0456-46DD-9706-586E9B671FA5
Q112162998,Maria del Carmen Ekoro,Q111021199,Education and Science,2012-05-22,2013-09-04,Q112162998-05F4E109-E32E-4F01-9F2E-B11561B1D19C
Q112162998,Maria del Carmen Ekoro,Q112162691,Social Affairs and Gender Equality,2013-09-04,2015-04-15,Q112162998-995567CA-C940-441B-893B-F99FC45E9812
Q112162999,María Consuelo Nguema Oyana,Q112162691,Social Affairs and Gender Equality,2018-02-06,2019-12-31,Q112162999-989B54D9-ED2D-4B44-9C5A-4963C88253A9
Q112163001,Maximiliano Meko Aveme,Q112162692,Telecommunications and New Technologies,2016-06-24,2018-02-06,Q112163001-49C6664B-2E80-4534-A51F-C836A4540141
Q112163002,Miguel Ekua Ondo,Q111021201,Industry and Energy,2018-02-06,2019-12-31,Q112163002-1E52253B-2B0A-4F50-84A4-539766E45CF0
Q112163003,Miguel Engonga Obiang Eyang,Q111021200,Finance and Budget,2015-04-15,2018-02-06,Q112163003-1EECD834-F563-442D-A59F-F10BA49EF730
Q112163004,Miguel Eyanga Jobe Malango,Q111021204,Labour and Social Security,2003-02-11,2004-06-15,Q112163004-47A01DC6-E7AE-40E2-8683-C33228C5031B
Q112163005,Miguel Oyono Ndongo Mifumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26,Q112163005-64C368E1-642D-48BA-B026-BC339027CC6C
Q112163005,Miguel Oyono Ndongo Mifumu,Q111021197,Agriculture and Forests,2012-05-22,2013-09-04,Q112163005-B9AB1DDF-30A1-4E92-9332-AB5F8E48F49E
Q112163007,Nicolas Obama Nchama,Q112162679,National Security,2009-02-24,2019-12-31,Q112163007-E1DACF6D-23CC-436C-BF46-9522D7A43635
Q112163009,Nicolás Houtonji Acapo,Q111021197,"Agriculture, Livestock, Forests, and Environment",2018-02-06,2019-12-31,Q112163009-E30AE807-C2F6-4B52-B1AE-6FE26AD995ED
Q112163010,Purificacion Buari Lasaqueros,Q112162687,Public Service and Administrative Planning,2012-05-22,2016-06-24,Q112163010-F96B9B3B-B766-49DB-AB5B-FFA801FA3038
Q112163011,Reginaldo Asue Mangue,Q112162694,Town Planning,2016-06-24,2018-02-06,Q112163011-8DCC816C-E4DC-40A4-871B-A1E71825D4DD
Q112163012,Ruben Mye Nsue,Q111021203,Justice,1998-01-23,2004-06-15,Q112163012-8AEACCC4-1592-476B-A287-AC871F871CC7
Q112163013,Rufino Ndong Esono Nchama,Q112162672,"Culture, Tourism and Craft Promotion",2018-02-06,2019-12-31,Q112163013-3DE63F49-EAFA-41A4-AA0D-EC1A0CF9A3F9
Q112163014,Rufino Owono Engonga,Q112162697,"Transport, the Postal Service and Telecommunications",2019-04-10,2019-12-31,Q112163014-DEC32AC2-DFE7-42FC-A687-B6965837D9BF
Q112163015,Salvador Mangue Avingono,Q112162687,Public Service and Administrative Planning,2008-07-15,2010-01-12,Q112163015-060654FC-144C-4840-871C-1455FE5978FF
Q112163016,Salvador Ondo Nkumu,Q111021203,"Justice, Religion, and Penitentiary Institutions",2018-02-06,2020-01-17,Q112163016-58906551-4104-48CB-B80B-E3C75FD89EFC
Q112163016,Salvador Ondo Nkumu,Q111021203,"Justice, Religion, and Penitentiary Institutions",2008-07-15,2011-01-28,Q112163016-B87BABCB-4C16-475B-90A1-55A7DB78DE75
Q112163017,Teobaldo Nchaso Matomba,Q112128225,"Information, Press, and Radio",2013-09-04,2015-04-15,Q112163017-FCB036B4-3F91-4738-A1D3-16712B0CCFBE
Q112163018,Tomas Esono Ava,Q112162700,Minister without Portfolio,2012-05-22,2013-09-04,Q112163018-7587161F-2C81-4056-94C4-A5621EC5B643
Q112163018,Tomas Esono Ava,Q112162687,Public Service and Administrative Planning,2010-01-12,2012-05-22,Q112163018-CC8A3675-B134-4987-9C49-3EA847FABF69
Q112163019,Vicente Eya Olomo,Q111021195,Defence,2016-06-24,2017-05-30,Q112163019-55043C72-7649-4645-A5A8-146E4E7969D5
Q112163020,Vidal Djoni Becoba,Q112162699,Youth and Sports,1999-07-22,2001-03-09,Q112163020-5026513E-7E0A-4453-BBA4-AE460A984742
Q112163021,Víctor Grange Meile,Q111021197,"Agriculture, Livestock and Food",2016-06-24,2018-02-06,Q112163021-F139DDF4-D4B1-49D8-9BFE-B3B2DD931A17
Q112163023,Ángel Borico Moisés,Q111021204,"Labour, Employment Promotion and Social Security",2016-06-24,2018-02-06,Q112163023-412CC50E-08A7-48C3-A758-19422B79B59B
Q1149802,Candido Muatetema Rivas,Q2351213,Prime Minister,2001-03-04,2004-06-14,Q1149802-0CC941E6-8861-42F8-9DDF-FC63825DE5D1
Q1353126,Miguel Abia Biteo Borico,Q112162680,"Parliament Relations, Juridical Affairs and Government Spokesman",2001-03-09,2004-06-15,Q1353126-1B123CA2-F340-485E-9F31-33447F6AE486
Q1353126,Miguel Abia Biteo Borico,Q111021198,Economy and Finance,1999-07-22,2001-03-09,Q1353126-688AD044-0FFD-444F-9A6C-B90DF3D3DA7F
Q1353126,Miguel Abia Biteo Borico,Q111021204,Labour and Social Security,2012-05-22,2012-12-06,Q1353126-B969D4E6-6360-41F6-B4D5-1D59E15B4BC0
Q1353126,Miguel Abia Biteo Borico,Q2351213,Prime Minister,2004-06-14,2006-08-14,Q1353126-D61B3587-5B21-43E3-BBBB-87FE756361E0
Q17198388,Santiago Nsobeya Efuman,Q112128225,"Information, Tourism and Culture",2006-01-01,2008-01-01,Q17198388-129a54bd-4b93-b34d-c6cd-cefed4d98968
