id,name,positionItem,position,start,end,dob,dod,gender
Q1655204,Seamus Brennan,,Min. For Social & Family Affairs,2005,2005,1948,2008,male
Q1903595,Martin Cullen,,Min. For Transport,2005,2005,1954,,male
Q7366858,Rory Brady,,Attorney General,2005,2005,1957,2010,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2005,2005,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2005,2005,,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2005,2005,1946,,male
Q174662,Mary Mcaleese,,President,2006,2006,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2006,2006,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2006,2006,1953,,female
Q444705,Mary Coughlan,,Min. For Agriculture & Food,2006,2006,1965,,female
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2006,2006,1956,,male
Q380312,Noel Dempsey,,"Min. For Communications, Marine & Natural Resources",2006,2006,1953,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2006,2006,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2006,2006,1952,,male
Q467641,Mary Hanafin,,Min. For Education & Science,2006,2006,1959,,female
Q920403,Micheal Martin,,"Min. For Enterprise, Trade & Employment",2006,2006,1960,,male
Q472742,Dick Roche,,"Min. For Environment, Heritage & Local Government",2006,2006,1947,,male
Q185272,Brian Cowen,,Min. For Finance,2006,2006,1960,,male
Q974143,Dermot Ahern,,Min. For Foreign Affairs,2006,2006,1955,,male
Q467625,Mary Harney,,Min. For Health & Children,2006,2006,1953,,female
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2006,2006,1951,,male
Q1655204,Seamus Brennan,,Min. For Social & Family Affairs,2006,2006,1948,2008,male
Q1903595,Martin Cullen,,Min. For Transport,2006,2006,1954,,male
Q7366858,Rory Brady,,Attorney General,2006,2006,1957,2010,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2006,2006,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2006,2006,,,male
Q1174055,David Cooney,Q112206299,"Permanent Representative To The Un, New York",2006,2006,1954,,male
Q174662,Mary Mcaleese,,President,2007,2007,1951,,female
Q154550,Bertie Ahern,,Prime Min.,2007,2007,1951,,male
Q185272,Brian Cowen,,Dep. Prime Minister,2007,2007,1960,,male
Q444705,Mary Coughlan,,"Min. For Agriculture, Fisheries & Food",2007,2007,1965,,female
Q1655204,Seamus Brennan,,"Min. For Arts, Sport & Tourism",2007,2007,1948,2008,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2007,2007,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2007,2007,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2007,2007,1952,,male
Q467641,Mary Hanafin,,Min. For Education & Science,2007,2007,1959,,female
Q920403,Micheal Martin,,"Min. For Enterprise, Trade & Employment",2007,2007,1960,,male
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2007,2007,1957,,male
Q185272,Brian Cowen,,Min. For Finance,2007,2007,1960,,male
Q974143,Dermot Ahern,,Min. For Foreign Affairs,2007,2007,1955,,male
Q467625,Mary Harney,,Min. For Health & Children,2007,2007,1953,,female
Q912430,Brian J. Lenihan,,"Min. For Justice, Equality & Law Reform",2007,2007,1959,2011,male
Q1903595,Martin Cullen,,Min. For Social & Family Affairs,2007,2007,1954,,male
Q380312,Noel Dempsey,,Min. For Transport & Marine,2007,2007,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2007,2007,1955,,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2007,2007,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2007,2007,,,male
Q1174055,David Cooney,Q112206299,"Permanent Representative To The Un, New York",2007,2007,1954,,male
Q174662,Mary Mcaleese,,President,2008,2008,1951,,female
Q185272,Brian Cowen,,Prime Min.,2008,2008,1960,,male
Q444705,Mary Coughlan,,Dep. Prime Minister,2008,2008,1965,,female
Q466044,Brendan Smith,,"Min. For Agriculture, Fisheries & Food",2008,2008,1956,,male
Q1903595,Martin Cullen,,"Min. For Arts, Sport & Tourism",2008,2008,1954,,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2008,2008,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2008,2008,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2008,2008,1952,,male
Q472750,Batt O'Keeffe,,Min. For Education & Science,2008,2008,1945,,male
Q444705,Mary Coughlan,,"Min. For Enterprise, Trade & Employment",2008,2008,1965,,female
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2008,2008,1957,,male
Q912430,Brian J. Lenihan,,Min. For Finance,2008,2008,1959,2011,male
Q920403,Micheal Martin,,Min. For Foreign Affairs,2008,2008,1960,,male
Q467625,Mary Harney,,Min. For Health & Children,2008,2008,1953,,female
Q974143,Dermot Ahern,,"Min. For Justice, Equality & Law Reform",2008,2008,1955,,male
Q467641,Mary Hanafin,,Min. For Social & Family Affairs,2008,2008,1959,,female
Q380312,Noel Dempsey,,Min. For Transport & Marine,2008,2008,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2008,2008,1955,,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2008,2008,,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2008,2008,1953,,male
Q1657148,John Paul Kavanagh,Q112206299,"Permanent Representative To The Un, New York",2008,2008,1956,,male
Q174662,Mary Mcaleese,,President,2009,2009,1951,,female
Q185272,Brian Cowen,,Prime Min.,2009,2009,1960,,male
Q444705,Mary Coughlan,,Dep. Prime Minister,2009,2009,1965,,female
Q466044,Brendan Smith,,"Min. For Agriculture, Fisheries & Food",2009,2009,1956,,male
Q1903595,Martin Cullen,,"Min. For Arts, Sport & Tourism",2009,2009,1954,,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2009,2009,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2009,2009,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2009,2009,1952,,male
Q472750,Batt O'Keeffe,,Min. For Education & Science,2009,2009,1945,,male
Q444705,Mary Coughlan,,"Min. For Enterprise, Trade & Employment",2009,2009,1965,,female
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2009,2009,1957,,male
Q912430,Brian J. Lenihan,,Min. For Finance,2009,2009,1959,2011,male
Q920403,Micheal Martin,,Min. For Foreign Affairs,2009,2009,1960,,male
Q467625,Mary Harney,,Min. For Health & Children,2009,2009,1953,,female
Q974143,Dermot Ahern,,"Min. For Justice, Equality & Law Reform",2009,2009,1955,,male
Q467641,Mary Hanafin,,Min. For Social & Family Affairs,2009,2009,1959,,female
Q380312,Noel Dempsey,,Min. For Transport & Marine,2009,2009,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2009,2009,1955,,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2009,2009,,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2009,2009,1953,,male
Q1657148,John Paul Kavanagh,Q112206299,"Permanent Representative To The Un, New York",2009,2009,1956,,male
Q174662,Mary Mcaleese,,President,2010,2010,1951,,female
Q185272,Brian Cowen,,Taoiseach (Prime Min. ),2010,2010,1960,,male
Q444705,Mary Coughlan,,Dep. Prime Minister,2010,2010,1965,,female
Q466044,Brendan Smith,,"Min. For Agriculture, Fisheries & Food",2010,2010,1956,,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2010,2010,1963,,male
Q2056456,Pat Carey,,"Min. For Community, Equality & Gaeltacht Affairs",2010,2010,1947,,male
Q2442673,Tony Killeen,,Min. For Defense,2010,2010,1952,,male
Q444705,Mary Coughlan,,Min. For Education & Skills,2010,2010,1965,,female
Q472750,Batt O'Keeffe,,"Min. For Enterprise, Trade & Innovation",2010,2010,1945,,male
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2010,2010,1957,,male
Q912430,Brian J. Lenihan,,Min. For Finance,2010,2010,1959,2011,male
Q920403,Micheal Martin,,Min. For Foreign Affairs,2010,2010,1960,,male
Q467625,Mary Harney,,Min. For Health & Children,2010,2010,1953,,female
Q974143,Dermot Ahern,,Min. For Justice & Law Reform,2010,2010,1955,,male
Q273274,Eamon O'Cuiv,,Min. For Social Protection,2010,2010,1950,,male
Q467641,Mary Hanafin,,"Min. For Tourism, Culture & Sport",2010,2010,1959,,female
Q380312,Noel Dempsey,,Min. For Transport,2010,2010,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2010,2010,1955,,male
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2010,2010,1949,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2010,2010,1953,,male
Q564938,Anne Colette Anderson,Q112206299,"Permanent Representative To The Un, New York",2010,2010,1952,,female
Q174662,Mary Mcaleese,,President,2011,2011,1951,,female
Q57815,Enda Kenny,,Taoiseach (Prime Min. ),2011,2011,1951,,male
Q982225,Eamon Gilmore,,Dep. Prime Minister,2011,2011,1955,,male
Q1670096,Simon Coveney,,"Min. For Agriculture, Marine & Food",2011,2011,1972,,male
Q559627,Jimmy Deenihan,,"Min. For Arts, Heritage & Gaeltacht Affairs",2011,2011,1952,,male
Q540812,Frances Fitzgerald,,Min. For Children,2011,2011,1950,,male
Q560453,Pat Rabbitte,,"Min. For Communications, Energy & Natural Resources",2011,2011,1949,,male
Q2038800,Ruairi Quinn,,Min. For Education & Skills,2011,2011,1946,,male
Q981847,Richard Bruton,,"Min. For Enterprise, Jobs & Innovation",2011,2011,1953,,male
Q983508,Philip Hogan,,"Min. For Environment, Community & Local Government",2011,2011,1960,,male
Q1390688,Michael Noonan,,Min. For Finance,2011,2011,1943,,male
Q982225,Eamon Gilmore,,Min. For Foreign Affairs & Trade,2011,2011,1955,,male
Q1681029,James Reilly,,Min. For Health,2011,2011,1955,,male
Q529364,Alan Joseph Shatter,,"Min. For Justice, Equality & Defense",2011,2011,1951,,male
Q466028,Brendan Howlin,,Min. For Public Expenditure & Reform,2011,2011,1956,,male
Q444685,Joan Burton,,Min. For Social Protection,2011,2011,1949,,female
Q1728820,Leo Varadkar,,"Min. For Transport, Tourism & Sport",2011,2011,1979,,male
Q6949593,Maire Whelan,,Attorney General,2011,2011,1956,,female
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2011,2011,1949,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2011,2011,1953,,male
Q564938,Anne Colette Anderson,Q112206299,"Permanent Representative To The Un, New York",2011,2011,1952,,female
Q57276,Michael Daniel Higgins,,President,2012,2012,1941,,male
Q57815,Enda Kenny,,Taoiseach (Prime Min. ),2012,2012,1951,,male
Q982225,Eamon Gilmore,,Dep. Prime Minister,2012,2012,1955,,male
Q1670096,Simon Coveney,,"Min. For Agriculture, Food & The Marine",2012,2012,1972,,male
Q559627,Jimmy Deenihan,,"Min. For Arts, Heritage & Gaeltacht Affairs",2012,2012,1952,,male
Q540812,Frances Fitzgerald,,Min. For Children,2012,2012,1950,,male
Q560453,Pat Rabbitte,,"Min. For Communications, Energy & Natural Resources",2012,2012,1949,,male
Q529364,Alan Joseph Shatter,,Min. For Defense,2012,2012,1951,,male
Q2038800,Ruairi Quinn,,Min. For Education & Skills,2012,2012,1946,,male
Q981847,Richard Bruton,,"Min. For Enterprise, Jobs & Innovation",2012,2012,1953,,male
Q983508,Philip Hogan,,"Min. For Environment, Community & Local Govt.",2012,2012,1960,,male
Q1390688,Michael Noonan,,Min. For Finance,2012,2012,1943,,male
Q982225,Eamon Gilmore,,Min. For Foreign Affairs & Trade,2012,2012,1955,,male
Q1681029,James Reilly,,Min. For Health,2012,2012,1955,,male
Q529364,Alan Joseph Shatter,,Min. For Justice & Equality,2012,2012,1951,,male
Q466028,Brendan Howlin,,Min. For Public Expenditure & Reform,2012,2012,1956,,male
Q444685,Joan Burton,,Min. For Social Protection,2012,2012,1949,,female
Q1728820,Leo Varadkar,,"Min. For Transport, Tourism & Sport",2012,2012,1979,,male
Q6949593,Maire Whelan,,Attorney General,2012,2012,1956,,female
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2012,2012,1949,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2012,2012,1953,,male
Q564938,Anne Colette Anderson,Q112206299,"Permanent Representative To The Un, New York",2012,2012,1952,,female
Q57276,Michael Daniel Higgins,,President,2013,2013,1941,,male
Q57815,Enda Kenny,,Taoiseach (Prime Min. ),2013,2013,1951,,male
Q982225,Eamon Gilmore,,Dep. Prime Minister,2013,2013,1955,,male
Q1670096,Simon Coveney,,"Min. For Agriculture, Food & The Marine",2013,2013,1972,,male
Q559627,Jimmy Deenihan,,"Min. For Arts, Heritage & Gaeltacht Affairs",2013,2013,1952,,male
Q540812,Frances Fitzgerald,,Min. For Children,2013,2013,1950,,male
Q560453,Pat Rabbitte,,"Min. For Communications, Energy & Natural Resources",2013,2013,1949,,male
Q529364,Alan Joseph Shatter,,Min. For Defense,2013,2013,1951,,male
Q2038800,Ruairi Quinn,,Min. For Education & Skills,2013,2013,1946,,male
Q981847,Richard Bruton,,"Min. For Enterprise, Jobs & Innovation",2013,2013,1953,,male
Q983508,Philip Hogan,,"Min. For Environment, Community & Local Govt.",2013,2013,1960,,male
Q1390688,Michael Noonan,,Min. For Finance,2013,2013,1943,,male
Q982225,Eamon Gilmore,,Min. For Foreign Affairs & Trade,2013,2013,1955,,male
Q1681029,James Reilly,,Min. For Health,2013,2013,1955,,male
Q529364,Alan Joseph Shatter,,Min. For Justice & Equality,2013,2013,1951,,male
Q466028,Brendan Howlin,,Min. For Public Expenditure & Reform,2013,2013,1956,,male
Q444685,Joan Burton,,Min. For Social Protection,2013,2013,1949,,female
Q1728820,Leo Varadkar,,"Min. For Transport, Tourism & Sport",2013,2013,1979,,male
Q6949593,Maire Whelan,,Attorney General,2013,2013,1956,,female
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2013,2013,1949,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2013,2013,1953,,male
Q564938,Anne Colette Anderson,Q112206299,"Permanent Representative To The Un, New York",2013,2013,1952,,female
Q57276,Michael Daniel Higgins,,President,2014,2014,1941,,male
Q57815,Enda Kenny,,Taoiseach (Prime Min. ),2014,2014,1951,,male
Q982225,Eamon Gilmore,,Dep. Prime Minister,2014,2014,1955,,male
Q1670096,Simon Coveney,,"Min. For Agriculture, Food & The Marine",2014,2014,1972,,male
Q559627,Jimmy Deenihan,,"Min. For Arts, Heritage & Gaeltacht Affairs",2014,2014,1952,,male
Q540812,Frances Fitzgerald,,Min. For Children,2014,2014,1950,,male
Q560453,Pat Rabbitte,,"Min. For Communications, Energy & Natural Resources",2014,2014,1949,,male
Q529364,Alan Joseph Shatter,,Min. For Defense,2014,2014,1951,,male
Q2038800,Ruairi Quinn,,Min. For Education & Skills,2014,2014,1946,,male
Q981847,Richard Bruton,,"Min. For Enterprise, Jobs & Innovation",2014,2014,1953,,male
Q983508,Philip Hogan,,"Min. For Environment, Community & Local Govt.",2014,2014,1960,,male
Q1390688,Michael Noonan,,Min. For Finance,2014,2014,1943,,male
Q982225,Eamon Gilmore,,Min. For Foreign Affairs & Trade,2014,2014,1955,,male
Q1681029,James Reilly,,Min. For Health,2014,2014,1955,,male
Q529364,Alan Joseph Shatter,,Min. For Justice & Equality,2014,2014,1951,,male
Q466028,Brendan Howlin,,Min. For Public Expenditure & Reform,2014,2014,1956,,male
Q444685,Joan Burton,,Min. For Social Protection,2014,2014,1949,,female
Q1728820,Leo Varadkar,,"Min. For Transport, Tourism & Sport",2014,2014,1979,,male
Q6949593,Maire Whelan,,Attorney General,2014,2014,1956,,female
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2014,2014,1949,,male
Q564938,Anne Colette Anderson,Q112206295,Ambassador To The Us,2014,2014,1952,,female
,David Denis Donoghue,Q112206299,"Permanent Representative To The Un, New York",2014,2014,1928,,male
Q57276,Michael Daniel Higgins,,President,2015,2015,1941,,male
Q57815,Enda Kenny,,Taoiseach (Prime Min. ),2015,2015,1951,,male
Q444685,Joan Burton,,Tanaiste (Dep. Prime Min.),2015,2015,1949,,female
Q1670096,Simon Coveney,,"Min. For Agriculture, Food & The Marine",2015,2015,1972,,male
Q5693903,Heather Humphreys,,"Min. For Arts, Heritage & Gaeltacht Affairs",2015,2015,1963,,female
Q1681029,James Reilly,,Min. For Children & Youth Affairs,2015,2015,1955,,male
Q2623867,Alex White,,"Min. For Communications, Energy & Natural Resources",2015,2015,1958,,male
Q1670096,Simon Coveney,,Min. For Defense,2015,2015,1972,,male
Q444725,Jan O'Sullivan,,Min. For Education & Skills,2015,2015,1950,,female
Q981847,Richard Bruton,,"Min. For Enterprise, Jobs & Innovation",2015,2015,1953,,male
Q454245,Alan Kelly,,"Min. For Environment, Community & Local Govt.",2015,2015,1975,,male
Q1390688,Michael Noonan,,Min. For Finance,2015,2015,1943,,male
Q1064368,Charles Flanagan,,Min. For Foreign Affairs & Trade,2015,2015,1956,,male
Q1728820,Leo Varadkar,,Min. For Health,2015,2015,1979,,male
Q540812,Frances Fitzgerald,,Min. For Justice & Equality,2015,2015,1950,,male
Q466028,Brendan Howlin,,Min. For Public Expenditure & Reform,2015,2015,1956,,male
Q444685,Joan Burton,,Min. For Social Protection,2015,2015,1949,,female
Q1271675,Paschal Donohoe,,"Min. For Transport, Tourism & Sport",2015,2015,1974,,male
Q6949593,Maire Whelan,,Attorney General,2015,2015,1956,,female
Q704379,Patrick Honohan,Q109484048,"Governor, Central Bank Of Ireland",2015,2015,1949,,male
Q564938,Anne Colette Anderson,Q112206295,Ambassador To The Us,2015,2015,1952,,female
