@@,item,itemlabel,startdate,enddate
->,Q5052598,Catherine Connolly,2004-06-08->2004,2005-06-10->2005
+++,,Frank Fahy,2015,2016
+++,,Noel Larkin,2016,2017
+++,,Pearce Flannery,2017,2018
