position,title
Q213702,President
Q191827,Taoiseach
Q1146214,Tánaiste
Q6865750,"Minister for Agriculture, Food and the Marine"
Q6865756,Minister for Children and Youth Affairs
Q6865764,Minister for Communications
Q6865770,"Minister for Communications, Climate Action and Environment"
Q30645438,Minister for Community and Rural Affairs
Q6865781,Minister for Defence
Q6865793,Minister for Economic Affairs
Q6865816,Minister for Education and Skills
Q57233308,Minister for Equality and Law Reform
Q4294945,Minister for Finance
Q6865853,Minister for Foreign Affairs and Trade
Q101013450,"Minister for Further and Higher Education, Research, Innovation and Science"
Q6865864,Minister for Health
Q6866004,"Minister for Housing, Planning and Local Government"
Q6865902,"Minister for Jobs, Enterprise and Innovation"
Q6865904,Minister for Justice and Equality
Q932991,Minister for Labour
Q11781521,Minister for Posts and Telegraphs
Q6865939,Minister for Public Expenditure and Reform
Q6865958,Minister for Social Protection
Q97304428,"Minister for Social Protection, Community and Rural Development and the Islands"
Q6865970,Minister for Supplies
Q6865747,"Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media"
Q6865981,"Minister for Transport, Tourism and Sport"
Q6866014,Minister for the Public Service
Q108072794,Minister without portfolio
Q6866336,Minister of State at the Department of Defence
Q104829610,Minister of State at the Department of Education
Q6866337,Minister of State at the Department of Finance
Q6866341,Minister of State at the Department of the Taoiseach
Q6866339,Minister of State for Children
Q56006689,Minister of State for Environment and Energy
Q6866354,Minister of State for European Affairs
Q6866355,Minister of State for Fisheries and Forestry
Q6866356,"Minister of State for Food, Horticulture and Food Safety"
Q23308552,Minister of State for Housing and Planning
Q6866364,Minister of State for Labour Affairs
Q6866369,Minister of State for Overseas Development
Q25342399,Minister of State for Regional Economic Development
Q23957944,Minister of State for Rural Economic Development and Rural Transport
Q24198537,Minister of State for Small Business
Q25342400,Minister of State for Tourism and Sport
Q6866375,Minister of State for Trade and Development
Q22983531,Minister of State for the NewEra Project
Q105103726,Minister of State with responsibility for Sport and the Gaeltacht
Q467926,Cathaoirleach
Q1052201,Ceann Comhairle
Q63706078,Leas-Cheann Comhairle
Q6508580,Leader of the Seanad
Q3777749,Attorney General
Q1072323,Chief Justice
Q109484048,Governor of the Central Bank
Q6070690,Chief of Staff of the Defence Forces
